"","A","S","E","O","R","T"
"788","adult","F","uni","emp","big","other"
"789","adult","M","uni","emp","small","car"
"790","old","F","high","emp","small","car"
"791","adult","M","high","emp","big","car"
"792","adult","M","high","emp","small","car"
"793","young","M","high","emp","small","car"
"794","old","M","high","emp","big","train"
"795","adult","M","high","emp","small","train"
"796","adult","M","high","emp","small","car"
"797","old","F","uni","emp","big","car"
"798","adult","M","uni","emp","big","car"
"799","young","F","uni","emp","big","car"
"800","adult","M","high","emp","big","car"
"801","adult","M","high","self","big","car"
"802","adult","M","high","emp","big","car"
"803","adult","F","high","emp","small","train"
"804","adult","F","high","emp","small","train"
"805","young","M","uni","emp","big","car"
"806","young","F","uni","emp","big","car"
"807","young","M","high","emp","big","car"
"808","adult","F","uni","emp","big","train"
"809","adult","M","high","emp","big","car"
"810","young","M","high","emp","big","train"
"811","young","F","high","emp","small","car"
"812","adult","M","high","emp","big","other"
"813","old","M","high","self","big","train"
"814","adult","M","high","emp","small","train"
"815","young","F","high","emp","big","car"
"816","young","M","uni","self","big","train"
"817","old","M","high","self","big","train"
"818","young","F","high","emp","big","train"
"819","young","F","high","emp","small","car"
"820","adult","F","high","emp","big","car"
"821","old","M","high","self","big","other"
"822","old","F","high","emp","big","car"
"823","adult","M","high","emp","big","train"
"824","adult","M","high","emp","big","other"
"825","adult","F","high","emp","big","car"
"826","adult","F","high","emp","big","car"
"827","young","M","uni","emp","big","car"
"828","adult","F","high","emp","big","car"
"829","old","F","uni","emp","big","car"
"830","young","F","uni","emp","big","other"
"831","adult","F","high","emp","small","train"
"832","old","F","high","emp","big","car"
"833","old","F","high","emp","small","other"
"834","old","F","high","emp","big","train"
"835","adult","M","high","emp","big","train"
"836","adult","M","high","emp","small","train"
"837","old","M","high","emp","big","car"
"838","old","M","high","emp","big","train"
"839","old","M","high","self","small","car"
"840","old","F","high","emp","small","train"
"841","young","F","uni","emp","small","other"
"842","young","F","high","emp","big","car"
"843","adult","F","high","emp","big","train"
"844","adult","M","high","emp","big","car"
"845","young","F","uni","emp","big","train"
"846","old","M","high","emp","big","car"
"847","young","M","high","emp","small","car"
"848","young","M","uni","emp","big","train"
"849","adult","M","high","emp","big","car"
"850","adult","M","high","emp","big","train"
"851","adult","M","high","self","big","car"
"852","adult","F","uni","emp","big","car"
"853","young","F","high","emp","small","car"
"854","young","M","high","emp","small","other"
"855","old","M","high","emp","small","car"
"856","old","M","high","emp","small","train"
"857","adult","M","high","emp","small","other"
"858","young","M","high","emp","small","car"
"859","old","F","high","emp","small","train"
"860","young","F","high","emp","small","train"
"861","young","M","high","emp","small","train"
"862","young","M","high","emp","big","car"
"863","adult","F","high","self","big","car"
"864","adult","F","high","emp","big","train"
"865","young","M","high","emp","big","car"
"866","adult","M","high","emp","big","other"
"867","young","F","high","emp","big","car"
"868","adult","M","high","emp","big","car"
"869","adult","M","uni","emp","big","car"
"870","young","M","high","emp","big","train"
"871","young","M","high","emp","big","train"
"872","adult","M","high","emp","big","car"
"873","young","M","high","self","big","car"
"874","adult","F","uni","emp","big","car"
"875","adult","F","high","emp","big","car"
"876","adult","F","high","emp","big","car"
"877","old","M","high","emp","small","train"
"878","old","M","high","emp","big","car"
"879","adult","F","uni","emp","big","car"
"880","young","M","high","emp","small","car"
"881","young","F","uni","emp","big","car"
"882","young","M","high","emp","big","car"
"883","adult","F","high","emp","big","car"
"884","young","M","uni","emp","small","car"
"885","young","M","high","emp","big","train"
"886","young","M","uni","emp","big","car"
"887","young","F","uni","emp","big","train"
"888","old","M","high","emp","big","other"
"889","old","M","high","emp","big","other"
"890","old","F","uni","emp","big","other"
"891","old","F","uni","self","small","car"
"892","adult","M","high","emp","small","car"
"893","young","F","uni","emp","small","train"
"894","young","M","high","emp","big","train"
"895","adult","F","high","self","big","car"
"896","old","M","high","emp","small","car"
"897","adult","F","high","emp","big","car"
"898","adult","M","high","emp","big","car"
"899","adult","F","high","emp","big","car"
"900","old","M","high","emp","big","car"
"901","adult","M","high","emp","big","car"
"902","adult","M","high","emp","big","car"
"903","old","M","high","emp","big","other"
"904","old","M","high","emp","big","train"
"905","adult","F","high","emp","small","car"
"906","old","F","uni","emp","small","train"
"907","adult","F","high","emp","small","car"
"908","old","M","high","emp","big","car"
"909","adult","F","high","emp","big","car"
"910","adult","M","high","emp","small","train"
"911","adult","M","high","emp","big","car"
"912","adult","M","high","emp","big","car"
"913","adult","M","high","emp","big","train"
"914","old","F","high","emp","big","other"
"915","adult","M","high","emp","small","train"
"916","young","M","high","emp","big","car"
"917","young","M","uni","emp","big","car"
"918","old","M","high","emp","big","train"
"919","adult","F","high","emp","big","car"
"920","adult","M","high","emp","small","car"
"921","adult","F","high","emp","small","other"
"922","young","F","uni","emp","big","other"
"923","old","M","high","emp","big","car"
"924","adult","M","high","emp","big","car"
"925","adult","F","uni","emp","big","car"
"926","adult","F","uni","emp","big","train"
"927","adult","F","uni","emp","small","other"
"928","adult","F","uni","emp","big","other"
"929","young","M","uni","emp","big","other"
"930","adult","M","high","emp","big","train"
"931","old","M","high","emp","big","other"
"932","adult","M","high","emp","small","car"
"933","young","F","high","emp","big","car"
"934","adult","M","high","emp","small","train"
"935","adult","M","high","emp","big","car"
"936","old","F","high","emp","big","car"
"937","adult","M","high","emp","big","train"
"938","young","F","high","emp","big","car"
"939","adult","M","high","emp","big","car"
"940","adult","M","high","emp","big","car"
"941","young","M","uni","emp","big","car"
"942","adult","M","uni","emp","big","train"
"943","young","M","high","emp","big","car"
"944","adult","F","uni","self","big","train"
"945","old","M","high","emp","big","car"
"946","young","M","high","emp","big","car"
"947","old","M","high","emp","small","other"
"948","old","F","high","emp","big","train"
"949","adult","F","high","emp","big","car"
"950","old","F","high","emp","big","car"
"951","young","M","high","emp","small","train"
"952","adult","F","high","emp","small","car"
"953","young","M","high","emp","small","train"
"954","old","M","high","emp","small","car"
"955","adult","M","uni","self","big","car"
"956","old","M","high","emp","small","car"
"957","young","M","high","emp","big","train"
"958","young","M","high","emp","small","car"
"959","young","M","high","emp","big","car"
"960","young","M","high","emp","big","car"
"961","young","F","uni","emp","big","car"
"962","young","M","high","emp","big","car"
"963","adult","M","high","emp","small","train"
"964","old","F","high","emp","big","car"
"965","young","F","high","emp","big","car"
"966","adult","F","uni","emp","big","train"
"967","adult","M","high","emp","small","train"
"968","adult","F","high","emp","small","car"
"969","adult","M","high","emp","big","car"
"970","adult","M","high","emp","big","other"
"971","adult","F","high","emp","big","car"
"972","old","F","uni","emp","small","other"
"973","old","M","high","emp","big","car"
"974","old","M","high","emp","small","car"
"975","adult","M","high","emp","small","car"
"976","young","M","uni","emp","big","car"
"977","young","F","uni","self","big","other"
"978","old","M","high","emp","big","car"
"979","old","M","high","emp","small","car"
"980","adult","M","high","self","big","car"
"981","adult","M","high","emp","big","car"
"982","adult","M","high","emp","big","car"
"983","young","M","high","emp","small","train"
"984","adult","F","high","emp","big","car"
"985","adult","M","high","emp","small","train"
"986","young","F","high","emp","big","car"
"987","young","M","high","emp","big","train"
"988","adult","F","high","emp","big","car"
"989","young","M","high","emp","big","car"
"990","adult","F","uni","emp","big","other"
"991","adult","M","uni","emp","big","car"
"992","adult","F","high","emp","small","car"
"993","young","M","high","emp","big","car"
"994","adult","M","high","emp","small","car"
"995","young","M","uni","emp","big","train"
"996","young","F","high","emp","big","car"
"997","old","M","high","emp","big","train"
"998","adult","F","high","emp","big","car"
"999","adult","M","high","emp","small","train"
"1000","adult","M","high","emp","big","car"
"1001","old","M","high","emp","small","train"
"1002","young","M","uni","self","big","train"
"1003","adult","M","high","emp","small","train"
"1004","adult","F","high","emp","big","train"
"1005","adult","M","high","emp","big","other"
"1006","young","F","high","emp","big","car"
"1007","young","F","high","emp","small","train"
"1008","adult","M","high","emp","big","car"
"1009","adult","M","high","emp","big","car"
"1010","adult","F","high","emp","big","car"
"1011","young","M","high","emp","big","car"
"1012","adult","M","high","emp","big","other"
"1013","old","F","high","emp","small","train"
"1014","old","F","high","emp","big","car"
"1015","adult","M","high","emp","small","train"
"1016","old","F","high","emp","big","train"
"1017","young","F","uni","emp","big","car"
"1018","young","M","high","emp","small","train"
"1019","young","M","high","emp","big","car"
"1020","old","M","high","emp","small","car"
"1021","young","F","high","emp","big","car"
"1022","adult","F","uni","emp","big","car"
"1023","adult","M","high","emp","big","other"
"1024","adult","M","uni","emp","small","car"
"1025","adult","F","high","emp","big","train"
"1026","adult","M","high","emp","big","car"
"1027","young","F","uni","emp","big","train"
"1028","old","M","high","emp","small","train"
"1029","old","M","uni","emp","big","train"
"1030","young","F","high","emp","big","car"
